ID,Session1Trial1,Session1Trial2,Session1Trial3,Session1Trial4,Session1Trial5,Session1Trial6,Session1Trial7,Session1Trial8,Session1Trial9
11,68,62,62,80,80,70,32,14,20
12,45,48,40,54,63,64,44,54,45
21,47,59,56,57,65,42,41,54,49
22,23,0,0,0,0,95,0,0,0
111,82,73,93,94,88,94,78,87,74
112,80,80,88,78,63,56,90,74,55
121,48,52,25,12,12,0,62,32,15
122,55,60,94,100,14,33,100,100,100
131,58,38,50,59,72,70,80,85,86
132,28,6,6,26,33,12,26,26,14
1001,55,55,30,51,46,39,47,36,39
1002,79,50,32,6,0,0,68,60,76
1091,86,82,80,75,87,85,87,84,88
1092,82,83,80,87,86,94,92,87,94
1101,93,93,95,99,100,94,100,100,94
1102,69,54,74,82,66,69,79,74,78
1191,78,77,72,68,76,75,86,94,94
1192,52,25,30,67,70,66,86,79,69
2001,50,57,75,74,56,54,56,69,62
2002,30,42,35,63,61,40,33,47,42
2091,72,84,87,86,98,93,80,79,88
2092,95,100,100,100,100,100,80,81,94
2101,23,42,44,42,44,44,44,47,51
2102,65,55,65,65,68,75,78,76,75
2191,52,62,54,54,58,58,61,56,56
2192,88,52,53,77,100,100,72,100,100
3001,84,81,86,80,62,51,76,74,79
3002,30,32,32,32,36,31,60,63,51
3091,10,6,8,8,14,10,47,58,50
3092,100,62,42,30,34,36,38,22,25
3101,51,51,63,82,88,93,80,79,68
3102,72,100,80,83,100,82,90,96,86
3191,50,59,61,60,68,68,80,82,73
3192,30,45,33,34,54,48,66,58,61
4001,0,12,28,11,26,18,26,34,36
4002,93,77,73,80,60,98,100,100,100
4091,62,76,75,79,78,78,80,80,82
4092,6,0,0,0,0,0,2,2,2
4101,84,75,54,91,69,65,62,51,44
4102,27,40,34,56,50,49,62,67,64
4191,8,6,11,34,44,54,38,51,51
4192,30,26,28,29,32,33,21,32,32
5001,60,68,80,54,72,51,48,51,46
5002,37,52,49,56,62,74,69,77,79
5091,91,100,100,100,100,100,100,100,100
5092,84,67,55,56,50,83,73,86,80
5101,50,55,65,75,82,69,64,62,54
5102,72,94,100,96,98,100,94,86,84
5191,83,79,78,75,76,74,75,76,75
5192,0,0,0,18,43,52,50,46,46
6001,7,9,6,50,57,74,80,86,82
6002,63,63,57,65,58,64,68,75,80
6091,67,82,74,71,86,90,88,81,90
6092,100,88,88,100,100,86,100,86,74
6101,71,71,85,80,80,76,78,74,56
6102,87,94,94,95,96,95,99,100,100
6191,46,46,50,62,62,62,72,68,73
6192,11,16,20,20,32,24,27,26,25
1,22,48,48,48,51,48,56,50,48
2,0,0,0,42,56,66,65,65,66
7001,52,32,30,24,27,23,26,26,26
7002,48,57,55,56,53,50,52,54,50
7091,94,83,82,85,88,79,20,6,14
7092,68,66,61,56,60,50,58,49,50
7101,100,100,100,100,100,100,100,100,100
7102,0,6,0,14,14,20,55,61,60
7191,26,18,20,16,22,16,19,20,26
7192,40,34,26,16,12,15,45,55,62
8001,74,74,72,78,75,76,78,79,84
8002,52,51,54,71,73,60,80,72,74
8091,38,54,64,76,48,64,90,93,94
8092,56,61,66,65,73,69,84,87,88
8101,39,29,23,68,81,79,91,94,94
8102,78,80,85,98,100,100,100,100,100
8191,0,0,0,0,0,0,0,0,0
8192,20,19,17,23,30,30,36,40,36
9001,68,50,48,56,54,56,56,62,63
9002,67,83,75,74,84,68,68,74,74
9091,88,88,88,85,88,88,79,74,74
9092,100,100,92,98,94,99,100,50,90
9101,64,44,38,62,61,56,62,57,60
9102,72,80,82,91,88,88,56,76,76
9191,68,65,44,12,98,100,92,100,94
9192,18,39,68,86,86,85,92,92,94
1,56,50,41,56,56,74,95,72,70
2,28,46,50,1,56,72,80,78,78
